code,name
1070240929,Baby Products
1070238715,Accessories
1070238716,Apparel
1070238717,Appliances
1070238718,Automotive
1070238719,Beauty
1070238720,Books & Magazines
1070238721,Chemical/Janitorial
1070238722,Cycling
1070238723,Diamonds and Jewelry
1070238724,Music
1070238725,Foodservice
1070238726,Footwear
1070238727,Furniture
1070238728,Gift Cards
1070238729,Grocery
1070238730,Health & Wellness
1070238731,Home Decor
1070238732,Home Improvement
1070238733,Home Textiles
1070238734,Household Paper Goods
1070238735,Housewares
1070238736,Juvenile
1070238737,Movies
1070238738,Optical
1070238739,Pharmacy OTC
1070238740,Party Supplies/Greeting Cards
1070238741,Pet Supplies
1070238742,Seasonal
1070238743,Services
1070238744,Software
1070238745,Team Sports
1070238746,Sports Equipment
1070238747,SupplyTrack
1070238748,Technology
1070238749,Toys
1070238750,Travel
1070238751,Video Games
1070238752,Warranties
1070240898,Excluded
1070255407,Undetermined
1070260862,Sports Europe
1070277868,Bookscan
1070269606,Toys Europe BTS
1070269611,Sports Europe Apparel
1070253159,Fabrics and Crafts
1070253160,Farm

1070253161,Greeting Cards

1070253162,Hunting and Fishing